,image_id,num_potholes,x,y,w,h
62,G0010116,8,2572.0,1642.0,254.0,74.0
63,G0010116,8,2226.0,1558.0,180.0,42.0
64,G0010116,8,2412.0,1544.0,114.0,34.0
65,G0010116,8,2238.0,1524.0,180.0,30.0
66,G0010116,8,2078.0,1394.0,84.0,22.0
67,G0010116,8,2222.0,1408.0,48.0,12.0
68,G0010116,8,2224.0,1386.0,68.0,16.0
69,G0010116,8,1976.0,1368.0,58.0,12.0
70,G0010117,8,1952.0,1630.0,166.0,42.0
71,G0010117,8,2114.0,1452.0,116.0,22.0
72,G0010117,8,2290.0,1444.0,102.0,18.0
73,G0010117,8,2310.0,1476.0,64.0,16.0
74,G0010117,8,1984.0,1406.0,72.0,16.0
75,G0010117,8,2128.0,1380.0,36.0,8.0
76,G0010117,8,2366.0,1554.0,56.0,20.0
77,G0010117,8,2014.0,1306.0,26.0,6.0
78,G0010118,8,2066.0,1520.0,156.0,48.0
79,G0010118,8,2310.0,1508.0,136.0,30.0
80,G0010118,8,2346.0,1570.0,94.0,28.0
81,G0010118,8,1880.0,1438.0,104.0,22.0
82,G0010118,8,2068.0,1400.0,44.0,10.0
83,G0010118,8,2074.0,1426.0,40.0,12.0
84,G0010118,8,1924.0,1318.0,26.0,10.0
85,G0010118,8,1928.0,1300.0,28.0,10.0
86,G0010119,6,1996.0,1690.0,248.0,76.0
87,G0010119,6,2370.0,1644.0,206.0,66.0
88,G0010119,6,1746.0,1514.0,138.0,40.0
89,G0010119,6,2000.0,1448.0,48.0,12.0
90,G0010119,6,1828.0,1336.0,26.0,6.0
91,G0010119,6,1840.0,1310.0,20.0,8.0
92,G0010120,5,1604.0,1668.0,216.0,88.0
93,G0010120,5,1986.0,1530.0,74.0,22.0
94,G0010120,5,2010.0,1616.0,74.0,40.0
95,G0010120,5,1788.0,1354.0,28.0,8.0
96,G0010120,5,1802.0,1324.0,30.0,6.0
97,G0010121,3,2148.0,1690.0,110.0,46.0
98,G0010121,3,1866.0,1370.0,32.0,10.0
99,G0010121,3,1884.0,1330.0,32.0,8.0
100,G0010122,2,1960.0,1396.0,48.0,14.0
101,G0010122,2,1982.0,1342.0,36.0,10.0
102,G0010123,2,1932.0,1440.0,64.0,20.0
103,G0010123,2,1954.0,1364.0,42.0,12.0
104,G0010124,2,1876.0,1508.0,92.0,30.0
105,G0010124,2,1916.0,1390.0,48.0,12.0
106,G0010125,2,1796.0,1626.0,136.0,64.0
107,G0010125,2,1868.0,1418.0,60.0,18.0
108,G0010126,1,1840.0,1464.0,76.0,26.0
109,G0010127,1,1818.0,1552.0,110.0,34.0
110,G0010128,3,1760.0,1720.0,174.0,48.0
111,G0010128,3,1854.0,1510.0,66.0,22.0
112,G0010128,3,2344.0,1522.0,52.0,18.0
113,G0010148,6,1464.0,1632.0,68.0,36.0
114,G0010148,6,1978.0,1372.0,58.0,12.0
115,G0010148,6,1978.0,1348.0,36.0,10.0
116,G0010148,6,1744.0,1372.0,26.0,6.0
117,G0010148,6,1784.0,1406.0,48.0,8.0
118,G0010148,6,1738.0,1356.0,30.0,8.0
119,G0010149,9,1982.0,1422.0,74.0,10.0
120,G0010149,9,1986.0,1380.0,42.0,8.0
121,G0010149,9,1946.0,1434.0,46.0,10.0
122,G0010149,9,1728.0,1476.0,58.0,12.0
123,G0010149,9,1688.0,1416.0,38.0,8.0
124,G0010149,9,1730.0,1396.0,54.0,8.0
125,G0010149,9,1692.0,1390.0,28.0,12.0
126,G0010149,9,1720.0,1378.0,28.0,12.0
127,G0010149,9,1752.0,1374.0,30.0,10.0
128,G0010150,10,1598.0,1604.0,90.0,28.0
129,G0010150,10,1940.0,1518.0,70.0,16.0
130,G0010150,10,1994.0,1494.0,104.0,18.0
131,G0010150,10,1994.0,1418.0,56.0,14.0
132,G0010150,10,1980.0,1406.0,42.0,10.0
133,G0010150,10,1592.0,1476.0,56.0,14.0
134,G0010150,10,1658.0,1442.0,52.0,10.0
135,G0010150,10,1610.0,1432.0,40.0,14.0
136,G0010150,10,1660.0,1416.0,36.0,10.0
137,G0010150,10,1696.0,1408.0,48.0,10.0
138,G0010151,10,1936.0,1730.0,118.0,28.0
139,G0010151,10,2010.0,1660.0,180.0,34.0
140,G0010151,10,2010.0,1492.0,76.0,14.0
141,G0010151,10,1986.0,1470.0,56.0,12.0
142,G0010151,10,1410.0,1596.0,94.0,24.0
143,G0010151,10,1536.0,1520.0,96.0,26.0
144,G0010151,10,1478.0,1506.0,70.0,22.0
145,G0010151,10,1554.0,1476.0,62.0,18.0
146,G0010151,10,1608.0,1464.0,62.0,16.0
147,G0010151,10,1516.0,1426.0,50.0,16.0
148,G0010152,8,1296.0,1692.0,140.0,40.0
149,G0010152,8,1232.0,1654.0,104.0,30.0
150,G0010152,8,1378.0,1588.0,106.0,22.0
151,G0010152,8,1462.0,1560.0,102.0,28.0
152,G0010152,8,1576.0,1536.0,60.0,16.0
153,G0010152,8,1362.0,1486.0,78.0,24.0
154,G0010152,8,1994.0,1580.0,92.0,34.0
155,G0010152,8,2034.0,1632.0,130.0,44.0
156,G0010153,5,1138.0,1576.0,108.0,40.0
157,G0010153,5,1192.0,1742.0,164.0,28.0
158,G0010153,5,1382.0,1696.0,52.0,18.0
159,G0010153,5,1674.0,1506.0,62.0,12.0
160,G0010153,5,1708.0,1418.0,54.0,10.0
161,G0010759,1,2008.0,1460.0,66.0,24.0
162,G0010760,1,2224.0,1502.0,70.0,28.0
163,G0010761,1,2630.0,1564.0,88.0,32.0
164,G0010762,1,3270.0,1668.0,112.0,46.0
165,G0010763,2,486.0,1470.0,118.0,32.0
166,G0010763,2,834.0,1520.0,70.0,26.0
167,G0010764,2,764.0,1454.0,124.0,30.0
168,G0010764,2,1122.0,1522.0,76.0,26.0
169,G0010765,2,1032.0,1440.0,136.0,40.0
170,G0010765,2,1410.0,1540.0,92.0,30.0
171,G0010766,2,1274.0,1442.0,140.0,40.0
172,G0010766,2,1698.0,1570.0,100.0,44.0
173,G0010767,2,1452.0,1450.0,154.0,42.0
174,G0010767,2,1930.0,1628.0,122.0,42.0
175,G0010768,1,1562.0,1476.0,180.0,60.0
176,G0010769,1,1618.0,1518.0,200.0,56.0
177,G0010770,1,1644.0,1586.0,230.0,78.0
178,G0010813,1,1882.0,1374.0,96.0,22.0
179,G0010814,1,1826.0,1454.0,180.0,42.0
180,G0010815,1,1692.0,1668.0,372.0,96.0
181,G0011195,1,1578.0,1432.0,66.0,18.0
182,G0011196,1,1408.0,1554.0,156.0,28.0
183,G0011242,3,1054.0,1486.0,70.0,24.0
184,G0011242,3,1340.0,1442.0,84.0,20.0
185,G0011242,3,1322.0,1420.0,48.0,20.0
186,G0011243,3,22.0,1740.0,150.0,48.0
187,G0011243,3,670.0,1624.0,188.0,52.0
188,G0011243,3,798.0,1546.0,104.0,26.0
189,G0011244,1,2034.0,1572.0,76.0,32.0
190,G0011427,2,1122.0,1532.0,80.0,22.0
191,G0011427,2,1392.0,1548.0,54.0,18.0
192,G0011474,3,1798.0,1614.0,224.0,70.0
193,G0011474,3,2158.0,1502.0,154.0,32.0
194,G0011474,3,2094.0,1414.0,102.0,20.0
195,G0011477,1,1560.0,1540.0,176.0,48.0
196,G0011488,1,2164.0,1474.0,108.0,34.0
197,G0011490,2,2352.0,1604.0,190.0,60.0
198,G0011490,2,2182.0,1422.0,110.0,30.0
199,G0011491,2,2486.0,1708.0,264.0,86.0
200,G0011491,2,2218.0,1446.0,116.0,32.0
201,G0011492,1,2242.0,1472.0,140.0,32.0
202,G0011493,1,2276.0,1484.0,158.0,42.0
203,G0011495,1,2428.0,1574.0,240.0,74.0
204,G0011496,1,2660.0,1668.0,326.0,118.0
205,G0011503,2,2304.0,1596.0,80.0,30.0
206,G0011503,2,1706.0,1452.0,64.0,22.0
207,G0011504,3,1574.0,1526.0,126.0,40.0
208,G0011504,3,2042.0,1402.0,52.0,20.0
209,G0011504,3,2138.0,1472.0,62.0,20.0
210,G0011525,2,2584.0,1662.0,156.0,54.0
211,G0011525,2,2010.0,1398.0,108.0,22.0
212,G0011526,1,2014.0,1440.0,132.0,36.0
213,G0011527,1,2054.0,1500.0,186.0,50.0
214,G0011529,3,2668.0,1736.0,170.0,62.0
215,G0011529,3,3192.0,1718.0,254.0,82.0
216,G0011529,3,2440.0,1578.0,146.0,44.0
217,G0011555,2,2210.0,1512.0,96.0,26.0
218,G0011555,2,2534.0,1518.0,306.0,108.0
219,G0011556,2,2572.0,1596.0,236.0,52.0
220,G0011556,2,2630.0,1778.0,232.0,64.0
221,G0011558,1,1788.0,1456.0,100.0,18.0
222,G0011559,1,1786.0,1544.0,164.0,36.0
223,G0011560,1,2184.0,1412.0,84.0,20.0
224,G0011561,1,2174.0,1452.0,138.0,28.0
225,G0011563,2,2428.0,1774.0,346.0,86.0
226,G0011563,2,2834.0,1646.0,146.0,58.0
227,G0011564,1,1938.0,1400.0,64.0,16.0
228,G0011566,1,2066.0,1486.0,104.0,24.0
229,G0011567,1,2246.0,1610.0,176.0,40.0
230,G0011569,1,2410.0,1450.0,104.0,34.0
231,G0011570,1,2716.0,1552.0,178.0,56.0
232,G0011572,3,1874.0,1506.0,84.0,20.0
233,G0011572,3,2902.0,1612.0,136.0,36.0
234,G0011572,3,2108.0,1518.0,54.0,22.0
235,G0011573,2,2312.0,1754.0,110.0,48.0
236,G0011573,2,1860.0,1706.0,160.0,58.0
237,G0011581,3,2080.0,1554.0,200.0,44.0
238,G0011581,3,2592.0,1596.0,232.0,66.0
239,G0011581,3,1270.0,1632.0,164.0,82.0
240,G0011586,3,1216.0,1628.0,256.0,54.0
241,G0011586,3,1966.0,1604.0,122.0,36.0
242,G0011586,3,2078.0,1502.0,186.0,38.0
243,G0011588,2,1264.0,1642.0,166.0,52.0
244,G0011588,2,1778.0,1476.0,82.0,26.0
245,G0011589,5,1758.0,1560.0,140.0,40.0
246,G0011589,5,1602.0,1542.0,96.0,24.0
247,G0011589,5,1640.0,1462.0,90.0,20.0
248,G0011589,5,1974.0,1418.0,64.0,14.0
249,G0011589,5,2002.0,1388.0,72.0,14.0
250,G0011590,6,1424.0,1738.0,150.0,44.0
251,G0011590,6,1538.0,1518.0,128.0,38.0
252,G0011590,6,2020.0,1446.0,70.0,18.0
253,G0011590,6,2194.0,1442.0,44.0,14.0
254,G0011590,6,2204.0,1482.0,110.0,28.0
255,G0011590,6,2038.0,1400.0,88.0,18.0
256,G0011591,6,1236.0,1694.0,250.0,90.0
257,G0011591,6,2068.0,1514.0,96.0,28.0
258,G0011591,6,2392.0,1598.0,166.0,50.0
259,G0011591,6,2532.0,1564.0,182.0,46.0
260,G0011591,6,2322.0,1510.0,68.0,26.0
261,G0011591,6,2096.0,1420.0,84.0,32.0
262,G0011592,4,2174.0,1700.0,202.0,66.0
263,G0011592,4,2576.0,1678.0,134.0,52.0
264,G0011592,4,2150.0,1490.0,118.0,38.0
265,G0011592,4,1634.0,1514.0,198.0,36.0
266,G0011593,3,1376.0,1670.0,368.0,100.0
267,G0011593,3,2280.0,1612.0,168.0,64.0
268,G0011593,3,2644.0,1546.0,150.0,68.0
269,G0011594,2,3128.0,1718.0,262.0,124.0
270,G0011594,2,1514.0,1528.0,126.0,24.0
271,G0011595,1,1080.0,1748.0,270.0,76.0
272,G0011609,1,1600.0,1492.0,46.0,16.0
273,G0011610,1,1354.0,1658.0,94.0,28.0
274,G0011612,1,2018.0,1378.0,46.0,10.0
275,G0011613,1,2048.0,1406.0,48.0,12.0
276,G0011615,3,2226.0,1528.0,140.0,38.0
277,G0011615,3,2148.0,1472.0,64.0,18.0
278,G0011615,3,2106.0,1454.0,46.0,10.0
279,G0011618,1,1730.0,1398.0,72.0,12.0
280,G0011619,1,1668.0,1432.0,104.0,20.0
281,G0011620,1,1564.0,1490.0,154.0,26.0
282,G0011621,1,1384.0,1586.0,230.0,54.0
283,G0011635,1,2004.0,1440.0,62.0,18.0
284,G0011636,1,2060.0,1508.0,94.0,24.0
285,G0011637,1,2252.0,1704.0,184.0,62.0
286,G0011641,1,2004.0,1420.0,60.0,16.0
287,G0011642,1,2052.0,1476.0,80.0,26.0
288,G0011643,1,2164.0,1612.0,144.0,60.0
289,G0011663,1,2144.0,1462.0,62.0,18.0
290,G0011700,1,1884.0,1360.0,36.0,12.0
291,G0011701,1,1890.0,1368.0,38.0,12.0
292,G0011702,1,1886.0,1386.0,52.0,16.0
293,G0011703,1,1870.0,1408.0,82.0,20.0
294,G0011704,1,1860.0,1444.0,98.0,28.0
295,G0011759,4,2222.0,1516.0,62.0,16.0
296,G0011759,4,2046.0,1412.0,52.0,10.0
297,G0011759,4,2324.0,1404.0,88.0,10.0
298,G0011759,4,2298.0,1408.0,86.0,12.0
299,G0011760,4,2268.0,1608.0,106.0,22.0
300,G0011760,4,2020.0,1442.0,62.0,10.0
301,G0011760,4,2350.0,1430.0,100.0,14.0
302,G0011760,4,2314.0,1442.0,70.0,12.0
303,G0011761,4,1996.0,1478.0,76.0,14.0
304,G0011761,4,2398.0,1460.0,112.0,16.0
305,G0011761,4,2358.0,1476.0,146.0,26.0
306,G0011761,4,2126.0,1498.0,58.0,14.0
307,G0011762,4,1968.0,1534.0,100.0,26.0
308,G0011762,4,2144.0,1572.0,80.0,20.0
309,G0011762,4,2434.0,1536.0,168.0,32.0
310,G0011762,4,2464.0,1504.0,158.0,28.0
311,G0011763,5,1948.0,1632.0,134.0,38.0
312,G0011763,5,2202.0,1698.0,112.0,40.0
313,G0011763,5,2580.0,1630.0,192.0,52.0
314,G0011763,5,2598.0,1578.0,196.0,44.0
315,G0011763,5,1972.0,1458.0,88.0,14.0
316,G0011764,4,2860.0,1686.0,282.0,82.0
317,G0011764,4,1964.0,1496.0,108.0,14.0
318,G0011764,4,2140.0,1508.0,84.0,24.0
319,G0011764,4,1632.0,1444.0,42.0,12.0
320,G0011766,3,2242.0,1668.0,190.0,56.0
321,G0011766,3,1662.0,1528.0,88.0,26.0
322,G0011766,3,2506.0,1724.0,234.0,42.0
323,G0011767,3,1754.0,1592.0,170.0,48.0
324,G0011767,3,1588.0,1510.0,86.0,16.0
325,G0011767,3,1886.0,1390.0,68.0,12.0
326,G0011768,2,1608.0,1580.0,104.0,24.0
327,G0011768,2,1966.0,1410.0,82.0,12.0
328,G0011770,2,1892.0,1464.0,116.0,18.0
329,G0011770,2,1688.0,1430.0,46.0,18.0
330,G0011771,2,1836.0,1520.0,154.0,24.0
331,G0011771,2,1600.0,1472.0,56.0,16.0
332,G0011774,2,1054.0,1682.0,174.0,48.0
333,G0011774,2,1426.0,1532.0,54.0,10.0
334,G0011775,1,1190.0,1648.0,74.0,20.0
335,G0011866,2,1950.0,1442.0,38.0,12.0
336,G0011866,2,1802.0,1434.0,34.0,12.0
337,G0011867,2,1940.0,1486.0,40.0,10.0
338,G0011867,2,1762.0,1474.0,50.0,16.0
339,G0011868,2,1932.0,1548.0,58.0,14.0
340,G0011868,2,1732.0,1526.0,62.0,20.0
341,G0011869,3,1920.0,1576.0,68.0,16.0
342,G0011869,3,1694.0,1548.0,76.0,22.0
343,G0011869,3,1870.0,1502.0,52.0,14.0
344,G0011870,3,1914.0,1588.0,74.0,18.0
345,G0011870,3,1666.0,1556.0,84.0,22.0
346,G0011870,3,1844.0,1506.0,66.0,16.0
347,G0011871,3,1926.0,1614.0,80.0,22.0
348,G0011871,3,1648.0,1568.0,92.0,28.0
349,G0011871,3,1846.0,1514.0,66.0,20.0
350,G0011872,3,1936.0,1660.0,94.0,26.0
351,G0011872,3,1636.0,1604.0,98.0,36.0
352,G0011872,3,1850.0,1536.0,78.0,24.0
353,G0011873,5,1234.0,1726.0,100.0,32.0
354,G0011873,5,1936.0,1730.0,102.0,36.0
355,G0011873,5,1592.0,1654.0,114.0,44.0
356,G0011873,5,1838.0,1566.0,94.0,32.0
357,G0011873,5,1668.0,1556.0,44.0,16.0
358,G0011874,3,1458.0,1698.0,160.0,66.0
359,G0011874,3,1774.0,1582.0,122.0,44.0
360,G0011874,3,1586.0,1562.0,46.0,18.0
361,G0011875,3,1672.0,1646.0,160.0,66.0
362,G0011875,3,1278.0,1706.0,100.0,26.0
363,G0011875,3,1452.0,1614.0,52.0,28.0
364,G0011877,2,1544.0,1576.0,108.0,22.0
365,G0011877,2,2344.0,1526.0,58.0,14.0
366,G0011880,1,1374.0,1572.0,78.0,24.0
367,G0011935,1,1804.0,1632.0,122.0,40.0
368,G0011936,2,2376.0,1412.0,42.0,12.0
369,G0011936,2,2254.0,1400.0,42.0,10.0
370,G0011937,3,1964.0,1532.0,86.0,22.0
371,G0011937,3,2402.0,1426.0,50.0,14.0
372,G0011937,3,2272.0,1416.0,44.0,14.0
373,G0011938,4,1972.0,1624.0,114.0,34.0
374,G0011938,4,2808.0,1574.0,90.0,18.0
375,G0011938,4,2466.0,1442.0,60.0,14.0
376,G0011938,4,2316.0,1428.0,38.0,12.0
377,G0011939,5,3158.0,1694.0,132.0,28.0
378,G0011939,5,2568.0,1472.0,62.0,12.0
379,G0011939,5,2376.0,1458.0,46.0,12.0
380,G0011939,5,2554.0,1506.0,76.0,16.0
381,G0011939,5,2448.0,1452.0,42.0,10.0
382,G0011940,4,2726.0,1550.0,98.0,22.0
383,G0011940,4,2706.0,1498.0,82.0,22.0
384,G0011940,4,2470.0,1480.0,50.0,12.0
385,G0011940,4,2540.0,1468.0,52.0,14.0
386,G0011941,5,3006.0,1654.0,134.0,46.0
387,G0011941,5,2916.0,1562.0,104.0,34.0
388,G0011941,5,2602.0,1536.0,68.0,16.0
389,G0011941,5,2686.0,1520.0,58.0,16.0
390,G0011941,5,3098.0,1470.0,68.0,18.0
391,G0011942,7,3234.0,1660.0,154.0,56.0
392,G0011942,7,2826.0,1614.0,84.0,28.0
393,G0011942,7,2904.0,1584.0,74.0,26.0
394,G0011942,7,3350.0,1510.0,72.0,20.0
395,G0011942,7,3244.0,1600.0,80.0,24.0
396,G0011942,7,2810.0,1550.0,58.0,14.0
397,G0011942,7,2112.0,1568.0,78.0,20.0
398,G0011943,2,2162.0,1694.0,102.0,30.0
399,G0011943,2,3222.0,1714.0,136.0,48.0
400,G0011947,1,2724.0,1440.0,142.0,36.0
401,G0011948,1,2350.0,1446.0,148.0,26.0
402,G0011949,1,2032.0,1460.0,150.0,32.0
403,G0011950,1,1774.0,1494.0,148.0,34.0
404,G0011951,1,1522.0,1542.0,172.0,40.0
405,G0011952,1,1278.0,1618.0,190.0,42.0
406,G0011953,1,986.0,1742.0,186.0,26.0
407,G0011958,1,1344.0,1606.0,88.0,18.0
408,G0011967,3,2964.0,1688.0,88.0,30.0
409,G0011967,3,1384.0,1576.0,86.0,26.0
410,G0011967,3,1410.0,1558.0,72.0,18.0
411,G0011971,1,2440.0,1618.0,42.0,12.0
412,G0011974,1,2704.0,1578.0,44.0,14.0
413,G0011975,3,2406.0,1684.0,50.0,24.0
414,G0011975,3,2264.0,1416.0,30.0,10.0
415,G0011975,3,2030.0,1404.0,34.0,14.0
416,G0011976,2,2376.0,1446.0,34.0,12.0
417,G0011976,2,2066.0,1428.0,44.0,16.0
418,G0011977,3,2586.0,1506.0,56.0,16.0
419,G0011977,3,2130.0,1476.0,64.0,20.0
420,G0011977,3,2292.0,1574.0,42.0,26.0
421,G0011987,2,2042.0,1470.0,44.0,14.0
422,G0011987,2,2592.0,1444.0,42.0,10.0
423,G0011990,1,2860.0,1516.0,80.0,24.0
424,G0016154,1,2018.0,1338.0,38.0,10.0
425,G0016155,1,2092.0,1370.0,48.0,14.0
426,G0016232,2,2288.0,1336.0,46.0,12.0
427,G0016232,2,2328.0,1346.0,40.0,12.0
428,G0016233,2,2490.0,1402.0,60.0,18.0
429,G0016233,2,2558.0,1426.0,64.0,20.0
430,G0016234,2,3062.0,1584.0,152.0,58.0
431,G0016234,2,3328.0,1678.0,184.0,68.0
432,G0016288,1,2456.0,1622.0,58.0,48.0
433,G0016316,1,2486.0,1420.0,48.0,18.0
434,G0016325,1,1948.0,1302.0,34.0,10.0
435,G0016327,1,1982.0,1324.0,52.0,10.0
436,G0016328,1,2042.0,1350.0,38.0,12.0
437,G0016501,1,1608.0,1440.0,88.0,44.0
438,G0016502,1,2510.0,1540.0,68.0,18.0
439,G0016503,1,2426.0,1458.0,72.0,28.0
440,G0016513,1,1914.0,1280.0,42.0,14.0
441,G0016514,1,1904.0,1296.0,48.0,14.0
442,G0016515,1,1894.0,1324.0,50.0,16.0
443,G0016556,1,1372.0,1332.0,38.0,12.0
444,G0016557,1,1258.0,1360.0,46.0,14.0
445,G0016558,1,1048.0,1402.0,68.0,20.0
446,G0020197,5,2028.0,1698.0,176.0,64.0
447,G0020197,5,1664.0,1618.0,152.0,28.0
448,G0020197,5,2300.0,1516.0,92.0,40.0
449,G0020197,5,1962.0,1474.0,64.0,16.0
450,G0020197,5,2040.0,1474.0,112.0,20.0
451,G0020198,5,2766.0,1660.0,192.0,62.0
452,G0020198,5,2260.0,1538.0,144.0,28.0
453,G0020198,5,2126.0,1530.0,92.0,20.0
454,G0020198,5,1600.0,1476.0,56.0,16.0
455,G0020198,5,1524.0,1506.0,52.0,14.0
456,G0020199,4,2346.0,1704.0,162.0,38.0
457,G0020199,4,2600.0,1714.0,238.0,54.0
458,G0020199,4,1338.0,1664.0,74.0,14.0
459,G0020199,4,1422.0,1608.0,72.0,18.0
460,G0020205,6,2322.0,1618.0,204.0,46.0
461,G0020205,6,2084.0,1708.0,266.0,62.0
462,G0020205,6,2044.0,1486.0,112.0,16.0
463,G0020205,6,1874.0,1414.0,56.0,10.0
464,G0020205,6,2340.0,1442.0,58.0,12.0
465,G0020205,6,2324.0,1462.0,140.0,44.0
466,G0020206,7,2126.0,1562.0,168.0,24.0
467,G0020206,7,2554.0,1570.0,196.0,24.0
468,G0020206,7,2592.0,1538.0,86.0,26.0
469,G0020206,7,2472.0,1482.0,78.0,14.0
470,G0020206,7,1794.0,1544.0,158.0,24.0
471,G0020206,7,1796.0,1492.0,152.0,28.0
472,G0020206,7,1872.0,1432.0,70.0,14.0
473,G0020207,8,2318.0,1704.0,278.0,64.0
474,G0020207,8,3018.0,1708.0,256.0,60.0
475,G0020207,8,1756.0,1638.0,264.0,76.0
476,G0020207,8,1780.0,1546.0,202.0,34.0
477,G0020207,8,2676.0,1534.0,110.0,16.0
478,G0020207,8,2860.0,1590.0,126.0,24.0
479,G0020207,8,2946.0,1640.0,166.0,48.0
480,G0020207,8,1868.0,1446.0,84.0,18.0
481,G0020208,3,1730.0,1658.0,324.0,86.0
482,G0020208,3,3006.0,1618.0,176.0,32.0
483,G0020208,3,1864.0,1472.0,108.0,18.0
484,G0020212,3,936.0,1726.0,194.0,44.0
485,G0020212,3,1100.0,1604.0,164.0,60.0
486,G0020212,3,1254.0,1534.0,60.0,18.0
487,G0022105,2,1040.0,1498.0,134.0,30.0
488,G0022105,2,346.0,1458.0,34.0,14.0
489,G0022106,2,1252.0,1548.0,136.0,34.0
490,G0022106,2,526.0,1464.0,56.0,14.0
491,G0022107,2,1422.0,1624.0,200.0,50.0
492,G0022107,2,628.0,1472.0,64.0,16.0
493,G0022108,1,742.0,1510.0,66.0,18.0
494,G0022109,1,854.0,1550.0,76.0,22.0
495,G0022110,1,1010.0,1602.0,78.0,30.0
496,G0022111,1,1176.0,1664.0,90.0,42.0
497,G0024291,4,2014.0,1522.0,198.0,30.0
498,G0024291,4,1672.0,1526.0,188.0,30.0
499,G0024291,4,1874.0,1492.0,50.0,20.0
500,G0024291,4,1682.0,1594.0,76.0,16.0
501,G0024291,4,2014.0,1522.0,198.0,30.0
502,G0024291,4,1672.0,1526.0,188.0,30.0
503,G0024291,4,1874.0,1492.0,50.0,20.0
504,G0024291,4,1682.0,1594.0,76.0,16.0
505,G0024292,4,1590.0,1702.0,86.0,28.0
506,G0024292,4,1634.0,1570.0,226.0,42.0
507,G0024292,4,1890.0,1524.0,50.0,12.0
508,G0024292,4,2064.0,1580.0,238.0,18.0
509,G0024292,4,1590.0,1702.0,86.0,28.0
510,G0024292,4,1634.0,1570.0,226.0,42.0
511,G0024292,4,1890.0,1524.0,50.0,12.0
512,G0024292,4,2064.0,1580.0,238.0,18.0
513,G0024293,4,2150.0,1632.0,322.0,44.0
514,G0024293,4,1914.0,1546.0,58.0,16.0
515,G0024293,4,1604.0,1630.0,266.0,52.0
516,G0024293,4,1344.0,1928.0,196.0,62.0
517,G0024293,4,2150.0,1632.0,322.0,44.0
